Game #,Seed,Gemini Turn Order,Gemini Rules,Gemini Strategy,Gemini Win,Gemini bluffs,Gemini bluffs_caught,Gemini challenges,Gemini challenges_correct,Gemini card_guesses_total,Gemini card_guesses_correct,ChatGPT Turn Order,ChatGPT Rules,ChatGPT Strategy,ChatGPT Win,ChatGPT bluffs,ChatGPT bluffs_caught,ChatGPT challenges,ChatGPT challenges_correct,ChatGPT card_guesses_total,ChatGPT card_guesses_correct,Grok Turn Order,Grok Rules,Grok Strategy,Grok Win,Grok bluffs,Grok bluffs_caught,Grok challenges,Grok challenges_correct,Grok card_guesses_total,Grok card_guesses_correct,,,Claude Turn Order,Claude Rules,Claude Strategy,Claude Win,Claude bluffs,Claude bluffs_caught,Claude challenges,Claude challenges_correct,Claude card_guesses_total,Claude card_guesses_correct,Mistral Turn Order,Mistral Rules,Mistral Strategy,Mistral Win,Mistral bluffs,Mistral bluffs_caught,Mistral challenges,Mistral challenges_correct,Mistral card_guesses_total,Mistral card_guesses_correct
18,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
19,99,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
20,42,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
21,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
22,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
23,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
24,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
25,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
26,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
27,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
28,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
29,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
30,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
31,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
32,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
33,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
34,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
35,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
36,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
37,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
38,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
39,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
40,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
41,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
42,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
43,99,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
44,42,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
45,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
46,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
47,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
48,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
49,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
50,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
51,2625633111,4,1,1,-1,0,0,2,0,0,0,2,1,-1,1,0,0,2,1,7,2,3,-1,1,-1,0,0,0,0,7,3,1,-1,-1,-1,6,1,0,0,8,5,,,,,,,0,0,,,,
52,2625633111,4,1,1,-1,0,0,2,0,0,0,2,1,-1,-1,0,0,2,1,2,1,3,-1,1,1,0,0,0,0,2,1,1,-1,-1,-1,1,0,0,0,0,0,,,,,,,0,0,,,,
53,2625633111,4,-1,-1,-1,0,0,2,0,0,0,2,-1,1,-1,0,0,0,0,4,2,3,1,1,1,0,0,1,1,6,1,1,1,-1,-1,2,1,0,0,6,4,,,,,,,0,0,,,,
54,2625633111,4,1,-1,-1,0,0,2,0,0,0,2,1,1,-1,0,0,1,0,4,1,3,-1,-1,1,0,0,1,1,4,1,1,-1,1,-1,2,0,0,0,0,0,,,,,,,0,0,,,,
55,2625633111,4,-1,1,-1,0,0,2,0,0,0,2,-1,-1,1,0,0,2,2,11,7,3,1,-1,-1,0,0,0,0,7,4,1,1,1,-1,1,1,0,0,8,1,,,,,,,0,0,,,,
56,2625633111,3,-1,1,-1,0,0,2,0,3,2,1,-1,-1,-1,0,0,2,0,0,0,2,1,-1,-1,0,0,1,0,3,1,4,1,1,1,0,0,0,0,2,2,,,,,,,0,0,,,,
57,2625633111,3,1,1,-1,0,0,1,0,3,2,1,1,-1,-1,0,0,4,2,3,0,2,-1,1,-1,0,0,0,0,0,0,4,-1,-1,1,0,0,0,0,2,1,,,,,,,0,0,,,,
58,2625633111,4,1,1,-1,0,0,3,1,6,3,2,1,-1,-1,0,0,1,0,3,1,3,-1,1,1,0,0,0,0,4,1,,,,,,,0,0,,,,,,,,,0,0,,,,
59,2625633111,4,-1,-1,1,0,0,0,0,4,1,2,-1,1,-1,0,0,0,0,0,0,3,1,1,-1,0,0,0,0,5,2,,,,,,,0,0,,,,,,,,,0,0,,,,
60,2625633111,4,1,-1,1,0,0,0,0,6,2,2,1,1,-1,0,0,2,0,0,0,3,-1,-1,-1,0,0,0,0,4,1,,,,,,,0,0,,,,,,,,,0,0,,,,
61,2625633111,4,-1,1,-1,0,0,1,0,0,0,2,-1,-1,-1,0,0,2,0,0,0,3,1,-1,1,0,0,1,1,0,0,,,,,,,0,0,,,,,,,,,0,0,,,,
62,2625633111,3,-1,1,-1,0,0,2,0,4,3,1,-1,-1,1,0,0,1,0,5,2,2,1,-1,-1,0,0,1,0,5,1,,,,,,,0,0,,,,,,,,,0,0,,,,
63,2625633111,3,1,1,-1,0,0,2,1,0,0,1,1,-1,1,0,0,1,1,1,0,2,-1,1,-1,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,0,0,,,,
64,2625633111,3,-1,-1,-1,0,0,3,2,3,1,1,-1,1,-1,0,0,0,0,3,1,2,1,1,1,0,0,1,1,3,0,,,,,,,0,0,,,,,,,,,0,0,,,,
65,2625633111,3,1,-1,-1,0,0,2,0,0,0,1,1,1,-1,0,0,0,0,3,1,2,-1,-1,1,0,0,0,0,2,0,,,,,,,0,0,,,,,,,,,0,0,,,,
66,2625633111,2,1,-1,-1,0,0,2,0,0,0,4,1,1,1,0,0,0,0,2,1,1,-1,-1,-1,0,0,2,1,3,1,,,,,,,0,0,,,,,,,,,0,0,,,,
67,2625633111,2,-1,1,-1,0,0,2,0,0,0,4,-1,-1,-1,0,0,1,0,2,1,1,1,-1,1,0,0,1,1,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
68,2625633111,2,1,1,-1,0,0,3,1,0,0,4,1,-1,1,0,0,1,1,1,0,1,-1,1,-1,0,0,0,0,2,0,,,,,,,0,0,,,,,,,,,0,0,,,,
69,2625633111,2,-1,-1,-1,0,0,1,0,4,0,4,-1,1,-1,0,0,2,1,6,3,1,1,1,1,0,0,0,0,6,4,,,,,,,0,0,,,,,,,,,0,0,,,,
70,2625633111,1,-1,-1,-1,0,0,2,0,0,0,3,-1,1,-1,0,0,2,0,2,1,4,1,1,1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
71,2625633111,1,1,-1,-1,0,0,3,1,0,0,3,1,1,-1,0,0,0,0,0,0,4,-1,-1,1,0,0,1,1,0,0,,,,,,,0,0,,,,,,,,,0,0,,,,
72,2625633111,1,-1,1,-1,0,0,1,0,0,0,3,-1,-1,1,0,0,2,1,2,1,4,1,-1,-1,0,0,2,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
73,2625633111,1,1,1,-1,0,0,2,0,0,0,3,1,-1,-1,0,0,0,0,0,0,4,-1,1,1,0,0,1,1,0,0,,,,,,,0,0,,,,,,,,,0,0,,,,
74,2625633111,4,1,1,1,0,0,1,1,3,0,2,1,-1,-1,0,0,2,1,4,2,3,-1,1,-1,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,0,0,,,,
75,2625633111,4,-1,-1,1,0,0,1,1,3,0,2,-1,1,-1,0,0,0,0,0,0,3,1,1,-1,0,0,1,1,4,2,,,,,,,0,0,,,,,,,,,0,0,,,,
76,2625633111,4,1,-1,-1,0,0,3,1,3,0,2,1,1,-1,0,0,1,0,0,0,3,-1,-1,1,0,0,0,0,3,1,,,,,,,0,0,,,,,,,,,0,0,,,,
77,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
78,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
79,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
80,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
81,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
82,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
83,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
84,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
85,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
86,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
87,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
88,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
89,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
90,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
91,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
92,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
93,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
94,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
95,99,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
96,42,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
97,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
98,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
99,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
100,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
101,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
102,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
103,2625633111,4,1,1,1,0,0,3,3,6,0,2,1,-1,-1,0,0,1,1,9,3,3,-1,1,-1,0,0,0,0,4,2,,,,,,,0,0,,,,,,,,,0,0,,,,
104,2625633111,4,-1,-1,1,0,0,1,1,3,0,2,-1,1,-1,0,0,1,0,0,0,3,1,1,-1,0,0,0,0,5,2,,,,,,,0,0,,,,,,,,,0,0,,,,
105,2625633111,4,1,-1,-1,0,0,3,1,3,1,2,1,1,1,0,0,2,2,4,2,3,-1,-1,-1,0,0,0,0,3,0,,,,,,,0,0,,,,,,,,,0,0,,,,
106,2625633111,4,-1,1,-1,0,0,1,0,4,2,2,-1,-1,-1,0,0,3,1,5,2,3,1,-1,1,0,0,0,0,4,2,,,,,,,0,0,,,,,,,,,0,0,,,,
107,2625633111,3,-1,1,-1,0,0,2,0,0,0,1,-1,-1,-1,0,0,2,0,2,1,2,1,-1,1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
108,2625633111,3,1,1,-1,0,0,3,2,3,2,1,1,-1,-1,0,0,3,3,3,1,2,-1,1,-1,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,0,0,,,,
109,2625633111,3,-1,-1,-1,0,0,3,1,0,0,1,-1,1,-1,0,0,1,0,0,0,2,1,1,-1,0,0,1,0,2,0,,,,,,,0,0,,,,,,,,,0,0,,,,
110,2625633111,3,1,-1,-1,0,0,4,2,0,0,1,1,1,-1,0,0,0,0,0,0,2,-1,-1,-1,0,0,1,0,5,3,,,,,,,0,0,,,,,,,,,0,0,,,,
111,2625633111,2,1,-1,-1,0,0,2,0,0,0,4,1,1,1,0,0,1,1,1,0,1,-1,-1,-1,0,0,0,0,2,0,,,,,,,0,0,,,,,,,,,0,0,,,,
112,2625633111,2,-1,1,-1,0,0,0,0,0,0,4,-1,-1,1,0,0,1,1,2,1,1,1,-1,-1,0,0,1,1,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
113,2625633111,2,1,1,-1,0,0,2,0,0,0,4,1,-1,1,0,0,0,0,2,1,1,-1,1,-1,0,0,0,0,3,2,,,,,,,0,0,,,,,,,,,0,0,,,,
114,2625633111,2,-1,-1,-1,0,0,2,0,4,1,4,-1,1,-1,0,0,1,0,4,1,1,1,1,1,0,0,0,0,4,2,,,,,,,0,0,,,,,,,,,0,0,,,,
115,2625633111,1,-1,-1,-1,0,0,2,0,0,0,3,-1,1,-1,0,0,1,1,2,1,4,1,1,1,0,0,1,1,2,0,,,,,,,0,0,,,,,,,,,0,0,,,,
116,2625633111,1,1,-1,-1,0,0,3,1,0,0,3,1,1,-1,0,0,2,1,2,1,4,-1,-1,1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
117,2625633111,1,-1,1,-1,0,0,1,0,0,0,3,-1,-1,-1,0,0,3,1,2,1,4,1,-1,1,0,0,0,0,1,1,,,,,,,0,0,,,,,,,,,0,0,,,,
118,2625633111,1,1,1,-1,0,0,2,0,0,0,3,1,-1,-1,0,0,0,0,0,0,4,-1,1,1,0,0,0,0,2,0,,,,,,,0,0,,,,,,,,,0,0,,,,
119,2625633111,4,1,1,1,0,0,1,1,3,0,2,1,-1,-1,0,0,3,1,3,0,3,-1,1,-1,0,0,0,0,4,0,,,,,,,0,0,,,,,,,,,0,0,,,,
120,2625633111,4,-1,-1,1,0,0,0,0,2,0,2,-1,1,-1,0,0,0,0,0,0,3,1,1,-1,0,0,0,0,3,0,,,,,,,0,0,,,,,,,,,0,0,,,,
121,2625633111,4,1,-1,-1,0,0,2,0,4,2,2,1,1,-1,0,0,1,0,3,2,3,-1,-1,1,0,0,0,0,3,2,,,,,,,0,0,,,,,,,,,0,0,,,,
122,2625633111,4,-1,1,-1,0,0,0,0,3,0,2,-1,-1,-1,0,0,3,1,4,1,3,1,-1,1,0,0,1,1,3,0,,,,,,,0,0,,,,,,,,,0,0,,,,
123,2625633111,3,-1,1,-1,0,0,1,0,0,0,1,-1,-1,-1,0,0,2,1,0,0,2,1,-1,1,0,0,0,0,1,1,,,,,,,0,0,,,,,,,,,0,0,,,,
124,2625633111,3,1,1,-1,0,0,3,1,0,0,1,1,-1,-1,0,0,3,1,2,1,2,-1,1,1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
125,2625633111,3,-1,-1,-1,0,0,4,2,3,0,1,-1,1,-1,0,0,0,0,0,0,2,1,1,1,0,0,2,2,3,1,,,,,,,0,0,,,,,,,,,0,0,,,,
126,2625633111,3,1,-1,-1,0,0,4,2,0,0,1,1,1,-1,0,0,0,0,0,0,2,-1,-1,1,0,0,0,0,1,0,,,,,,,0,0,,,,,,,,,0,0,,,,
127,2625633111,2,1,-1,-1,0,0,2,0,0,0,4,1,1,-1,0,0,1,0,4,2,1,-1,-1,1,0,0,0,0,3,1,,,,,,,0,0,,,,,,,,,0,0,,,,
128,2625633111,2,-1,1,-1,0,0,1,0,0,0,4,-1,-1,-1,0,0,2,0,2,1,1,1,-1,1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
129,2625633111,2,1,1,-1,0,0,2,0,0,0,4,1,-1,1,0,0,2,1,2,0,1,-1,1,-1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
130,2625633111,2,-1,-1,-1,0,0,1,0,0,0,4,-1,1,-1,0,0,2,0,3,2,1,1,1,1,0,0,0,0,3,1,,,,,,,0,0,,,,,,,,,0,0,,,,
131,2625633111,1,-1,-1,-1,0,0,2,0,0,0,3,-1,1,-1,0,0,2,0,2,1,4,1,1,1,0,0,0,0,1,0,,,,,,,0,0,,,,,,,,,0,0,,,,
132,2625633111,1,1,-1,-1,0,0,3,1,0,0,3,1,1,-1,0,0,2,1,2,0,4,-1,-1,1,0,0,0,0,1,0,,,,,,,0,0,,,,,,,,,0,0,,,,
133,2625633111,1,-1,1,-1,0,0,2,0,0,0,3,-1,-1,-1,0,0,1,0,2,2,4,1,-1,1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
134,2625633111,1,1,1,-1,0,0,2,0,0,0,3,1,-1,1,0,0,1,1,1,0,4,-1,1,-1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
135,2625633111,4,1,1,-1,0,0,2,0,0,0,2,1,-1,-1,0,0,3,1,2,0,3,-1,1,1,0,0,0,0,1,0,,,,,,,0,0,,,,,,,,,0,0,,,,
136,2625633111,4,-1,-1,-1,0,0,1,0,2,0,2,-1,1,1,0,0,4,4,3,1,3,1,1,-1,0,0,0,0,3,1,,,,,,,0,0,,,,,,,,,0,0,,,,
137,2625633111,4,1,-1,1,0,0,3,2,3,0,2,1,1,-1,0,0,0,0,0,0,3,-1,-1,-1,0,0,1,1,2,0,,,,,,,0,0,,,,,,,,,0,0,,,,
138,2625633111,4,-1,1,-1,0,0,1,0,4,2,2,-1,-1,-1,0,0,2,1,6,4,3,1,-1,1,0,0,1,1,5,3,,,,,,,0,0,,,,,,,,,0,0,,,,
139,2625633111,3,-1,1,-1,0,0,2,0,0,0,1,-1,-1,-1,0,0,1,0,0,0,2,1,-1,1,0,0,0,0,1,0,,,,,,,0,0,,,,,,,,,0,0,,,,
140,2625633111,3,1,1,1,0,0,2,1,1,0,1,1,-1,-1,0,0,3,1,0,0,2,-1,1,-1,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,0,0,,,,
141,2625633111,3,-1,-1,-1,0,0,4,2,3,0,1,-1,1,-1,0,0,1,0,0,0,2,1,1,-1,0,0,0,0,3,1,,,,,,,0,0,,,,,,,,,0,0,,,,
142,2625633111,3,1,-1,-1,0,0,2,0,0,0,1,1,1,1,0,0,1,1,3,0,2,-1,-1,-1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
143,2625633111,2,1,-1,-1,0,0,2,0,0,0,4,1,1,-1,0,0,2,0,2,2,1,-1,-1,1,0,0,1,1,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
144,2625633111,2,-1,1,-1,0,0,1,0,0,0,4,-1,-1,-1,0,0,2,0,2,1,1,1,-1,1,0,0,0,0,1,1,,,,,,,0,0,,,,,,,,,0,0,,,,
145,2625633111,2,1,1,-1,0,0,2,0,0,0,4,1,-1,1,0,0,0,0,1,0,1,-1,1,-1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
146,2625633111,2,-1,-1,-1,0,0,4,3,3,0,4,-1,1,1,0,0,0,0,2,2,1,1,1,-1,0,0,0,0,3,0,,,,,,,0,0,,,,,,,,,0,0,,,,
147,2625633111,1,-1,-1,-1,0,0,2,0,0,0,3,-1,1,-1,0,0,1,0,0,0,4,1,1,1,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,0,0,,,,
148,2625633111,1,1,-1,-1,0,0,3,1,0,0,3,1,1,1,0,0,1,1,2,1,4,-1,-1,-1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
149,2625633111,1,-1,1,-1,0,0,2,0,0,0,3,-1,-1,-1,0,0,2,0,2,0,4,1,-1,1,0,0,0,0,1,0,,,,,,,0,0,,,,,,,,,0,0,,,,
150,2625633111,1,1,1,-1,0,0,2,0,0,0,3,1,-1,-1,0,0,2,0,2,0,4,-1,1,1,0,0,0,0,1,1,,,,,,,0,0,,,,,,,,,0,0,,,,
151,2625633111,4,1,1,-1,0,0,1,0,2,0,2,1,-1,1,0,0,4,3,2,1,3,-1,1,-1,0,0,0,0,2,0,,,,,,,0,0,,,,,,,,,0,0,,,,
152,2625633111,4,-1,-1,1,0,0,2,1,5,1,2,-1,1,-1,0,0,0,0,0,0,3,1,1,-1,0,0,0,0,6,2,,,,,,,0,0,,,,,,,,,0,0,,,,
153,2625633111,4,1,-1,1,0,0,2,2,3,0,2,1,1,-1,0,0,1,1,3,1,3,-1,-1,-1,0,0,0,0,5,1,,,,,,,0,0,,,,,,,,,0,0,,,,
154,2625633111,4,-1,1,-1,0,0,2,0,2,0,2,-1,-1,-1,0,0,2,0,0,0,3,1,-1,1,0,0,0,0,1,1,,,,,,,0,0,,,,,,,,,0,0,,,,
155,2625633111,3,-1,1,-1,0,0,1,0,0,0,1,-1,-1,1,0,0,2,2,1,1,2,1,-1,-1,0,0,1,0,2,0,,,,,,,0,0,,,,,,,,,0,0,,,,
156,2625633111,3,1,1,1,0,0,3,2,2,1,1,1,-1,-1,0,0,1,0,0,0,2,-1,1,-1,0,0,0,0,2,1,,,,,,,0,0,,,,,,,,,0,0,,,,
157,2625633111,3,-1,-1,-1,0,0,1,0,4,2,1,-1,1,-1,0,0,2,0,5,4,2,1,1,1,0,0,0,0,5,2,,,,,,,0,0,,,,,,,,,0,0,,,,
